Titre,Source,url,published date,description,tags
Déficit public : les coulisses de l'humiliation de Bruno Le Maire par Emmanuel Macron,Europe 1,https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmV1cm9wZTEuZnIvcG9saXRpcXVlL2RlZmljaXQtcHVibGljLWxlcy1jb3VsaXNzZXMtZGUtbGh1bWlsaWF0aW9uLWRlLWJydW5vLWxlLW1haXJlLXBhci1lbW1hbnVlbC1tYWNyb24tNDI0MDY0M9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Wed, 10 Apr 2024 04:30:00 GMT","Déficit public : les coulisses de l'humiliation de Bruno Le Maire par Emmanuel Macron  Europe 1Guillaume Tabard: «L'Élysée et Matignon face au cas Le Maire»  Le FigaroLa tentation de l'impôt  Le PointEntre Emmanuel Macron et Bruno Le Maire, une vive tension sur le déficit public  Le MondeMacron, Le Maire et la « foire à la saucisse » [Le point de vue de CL]  Charente Libre","maire, déficit, public, bruno, emmanuel"
Stanislas Guérini veut réformer la fonction publique pour contrer le « statu quo » : un argument hasardeux,Le HuffPost,https://news.google.com/rss/articles/CBMingFodHRwczovL3d3dy5odWZmaW5ndG9ucG9zdC5mci9wb2xpdGlxdWUvdmlkZW8vc3RhbmlzbGFzLWd1ZXJpbmktdmV1dC1yZWZvcm1lci1sYS1mb25jdGlvbi1wdWJsaXF1ZS1wb3VyLWNvbnRyZXItbGUtc3RhdHUtcXVvLXVuLWFyZ3VtZW50LWhhc2FyZGV1eF8yMzI0MzguaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Wed, 10 Apr 2024 09:11:22 GMT","Stanislas Guérini veut réformer la fonction publique pour contrer le « statu quo » : un argument hasardeux  Le HuffPostFonction publique : Stanislas Guérini veut « lever le tabou du licenciement » sans « remettre en cause » la « garantie de l'emploi »  Le Monde« Inadmissibles », « scandaleux »… Les syndicats en colère après les propos de Guerini sur le licenciement des fonctionnaires  Le Parisien«Goût de l'initiative» et «sens des responsabilités» : Attal cite le communiste Thorez pour défendre la réforme de la fonction publique  Le FigaroLicenciement des fonctionnaires : comment le gouvernement compte ""sanctionner ceux qui ne font pas suffisamment leur travail"" ?  Midi Libre","publique, stanislas, guérini, veut, fonction"
Disparition d'Émile : la maison de la randonneuse qui a retrouvé les ossements perquisitionnée contre toute attente,Purepeople,https://news.google.com/rss/articles/CBMingFodHRwczovL3d3dy5wdXJlcGVvcGxlLmNvbS9hcnRpY2xlL2Rpc3Bhcml0aW9uLWQtZW1pbGUtbGEtbWFpc29uLWRlLWxhLXJhbmRvbm5ldXNlLXF1aS1hLXJldHJvdXZlLWxlcy1vc3NlbWVudHMtcGVycXVpc2l0aW9ubmVlLWNvbnRyZS10b3V0ZS1hdHRlbnRlX2E1MjE4NDAvMdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Wed, 10 Apr 2024 07:03:00 GMT","Disparition d'Émile : la maison de la randonneuse qui a retrouvé les ossements perquisitionnée contre toute attente  PurepeopleINFO BFMTV. ""Je savais que c'était lui"": le récit de la randonneuse qui a retrouvé le crâne d'Émile  BFM DICIMort d’Emile au Vernet : perquisition chez la randonneuse, ce que les enquêteurs ont pris avec eux  Closer FranceLa randonneuse qui a trouvé le crâne d'Émile raconte sa macabre découverte  Le HuffPostLe petit Emile retrouvé mort : la femme qui a retrouvé son crâne soupçonnée ? “Je ne m'y attendais pas”  marie france","randonneuse, a, retrouvé, démile, crâne"
"En direct. Jonathann Daval jugé pour dénonciations calomnieuses : le procureur requiert une relaxe, le tribunal rendra sa décision en mai. Suivez le procès avec nous",Est Républicain,https://news.google.com/rss/articles/CBMiqgFodHRwczovL3d3dy5lc3RyZXB1YmxpY2Fpbi5mci9mYWl0cy1kaXZlcnMtanVzdGljZS8yMDI0LzA0LzEwL2pvbmF0aGFubi1kYXZhbC1qdWdlLXBvdXItZGVub25jaWF0aW9ucy1jYWxvbW5pZXVzZXMtaWwtdmEtYXNzdW1lci1wcm9tZXQtc2EtbWVyZS1zdWl2ZXotbGUtcHJvY2VzLWF2ZWMtbm91c9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Wed, 10 Apr 2024 13:17:16 GMT","En direct. Jonathann Daval jugé pour dénonciations calomnieuses : le procureur requiert une relaxe, le tribunal rendra sa décision en mai. Suivez le procès avec nous  Est RépublicainJugé pour ""dénonciation calomnieuse"", Jonathann Daval parle de ""déni"", le procureur demande la relaxe  BFMTVDaval à nouveau devant la justice: le parquet requiert la relaxe : Actualités - Orange  Actu OrangeAffaire Daval : pourquoi Jonathann Daval est-il à nouveau devant la justice ?  franceinfoJonathann Daval, condamné pour le meurtre de son épouse Alexia, de nouveau devant la justice  Le HuffPost","daval, jonathann, relaxe, procureur, requiert"
Ce que l'on sait sur cet adolescent de 15 ans retrouvé mort dans les toilettes d'un lycée de Reims,France 3 Régions,https://news.google.com/rss/articles/CBMilwFodHRwczovL2ZyYW5jZTMtcmVnaW9ucy5mcmFuY2V0dmluZm8uZnIvZ3JhbmQtZXN0L21hcm5lL3JlaW1zL3VuLWFkb2xlc2NlbnQtZGUtMTUtYW5zLXJldHJvdXZlLW1vcnQtZGFucy1sZXMtdG9pbGV0dGVzLWQtdW4tbHljZWUtZGUtcmVpbXMtMjk1MzAwNy5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"Wed, 10 Apr 2024 10:02:22 GMT",Ce que l'on sait sur cet adolescent de 15 ans retrouvé mort dans les toilettes d'un lycée de Reims  France 3 RégionsMort d'un ado dans son lycée à Reims : Belloubet réclame toute « la lumière »  Le TélégrammeUn adolescent de 15 ans retrouvé mort dans les toilettes de son lycée à Reims  LaDepeche.frReims: un lycéen de 15 ans retrouvé mort dans les toilettes de son établissement  BFMTVReims : un adolescent de 15 ans retrouvé mort dans les toilettes de son lycée  CNEWS,"15, an, retrouvé, mort, toilette"
Adolescent mortellement poignardé à Romans-sur-Isère : ce que l'on sait,Ouest-France,https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5vdWVzdC1mcmFuY2UuZnIvc29jaWV0ZS9mYWl0cy1kaXZlcnMvYWRvbGVzY2VudC1tb3J0ZWxsZW1lbnQtcG9pZ25hcmRlLWEtcm9tYW5zLXN1ci1pc2VyZS1jZS1xdWUtbG9uLXNhaXQtYmMwYTdhMjgtZjczMS0xMWVlLTk5Y2UtMDM0OTFlMDI4MWMz0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"Wed, 10 Apr 2024 12:49:01 GMT","Adolescent mortellement poignardé à Romans-sur-Isère : ce que l'on sait  Ouest-FranceRomans-sur-Isère : un jeune de 15 ans tué à l'arme blanche dans le quartier de La Monnaie  France BleuDrôme. Un adolescent tué à l'arme blanche, en pleine rue, à Romans-sur-Isère : ce que l'on sait  Le Dauphiné LibéréRomans-sur-Isère : un «témoin majeur» entendu par la police après la mort d'un adolescent de 15 ans  Le FigaroRomans-sur-Isère : un adolescent de 15 ans meurt après une agression à l'arme blanche  Libération","adolescent, romanssurisère, lon, sait, 15"
L'Eglise catholique se dote d'un porte-parolat sur la fin de vie,Le Monde,https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5sZW1vbmRlLmZyL3NvY2lldGUvYXJ0aWNsZS8yMDI0LzA0LzEwL2wtZWdsaXNlLWNhdGhvbGlxdWUtc2UtZG90ZS1kLXVuLXBvcnRlLXBhcm9sYXQtc3VyLWxhLWZpbi1kZS12aWVfNjIyNjk4OV8zMjI0Lmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"Wed, 10 Apr 2024 07:16:45 GMT","L'Eglise catholique se dote d'un porte-parolat sur la fin de vie  Le MondeAide à mourir : « Accompagner une personne, ce ne sera jamais abréger sa vie »  Le MondeProjet de loi sur la fin de vie : pourquoi l'aide à mourir pourrait attendre des années avant d'entrer en vigueur  franceinfoFin de vie : quatre évêques désignés porte-parole avant les débats parlementaires  La CroixSoutien aux aidants : «Une personne en fin de vie ne peut pas être seule à domicile»  Libération","vie, fin, leglise, catholique, dote"
Mort de Shemseddine à Viry-Chatillon : deux des suspects mineurs également placés en détention,Le Parisien,https://news.google.com/rss/articles/CBMiqwFodHRwczovL3d3dy5sZXBhcmlzaWVuLmZyL2Vzc29ubmUtOTEvbW9ydC1kZS1zaGVtc2VkZGluZS1hLXZpcnktY2hhdGlsbG9uLWRldXgtZGVzLXN1c3BlY3RzLW1pbmV1cnMtZWdhbGVtZW50LXBsYWNlcy1lbi1kZXRlbnRpb24tMTAtMDQtMjAyNC1GMks0VUpSR1dORk9WTFFNUjU3UlJaN0hNQS5waHDSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"Wed, 10 Apr 2024 09:57:00 GMT","Mort de Shemseddine à Viry-Chatillon : deux des suspects mineurs également placés en détention  Le ParisienCollégien tué à Viry-Châtillon : les deux derniers suspects placés en détention provisoire à l'issue du débat contradictoire  CNEWSMort de Shemseddine à Viry-Châtillon : deux suspects placés en détention provisoire  Le Point«C'est une idiotie qui se termine en barbarie» : douleur et sidération aux obsèques de Shemseddine, battu à mort à Viry-Châtillon  Le FigaroÀ Viry-Châtillon, en hommage à Shemseddine, une cérémonie religieuse et des obsèques dans l'intimité  Le HuffPost","shemseddine, deux, suspect, placés, détention"
Élections Européennes 2024 : Eurorolling IFOP,Fiducial du 9 avril,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LnN1ZHJhZGlvLmZyL2VsZWN0aW9ucy1ldXJvcGVlbm5lcy0yMDI0L2VsZWN0aW9ucy1ldXJvcGVlbm5lcy0yMDI0LWV1cm9yb2xsaW5nLWlmb3AtZmlkdWNpYWwtZHUtOS1hdnJpbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Tue, 09 Apr 2024 15:01:35 GMT","Élections Européennes 2024 : Eurorolling IFOP - Fiducial du 9 avril -  Sud RadioEuropéennes : Hayer en recul, Glucksmann en progrès... Découvrez les résultats du sondage quotidien du Figaro  Le FigaroÉlections européennes: la tentation du vote Bardella se confirme en dehors de l'électorat habituel du RN  ChallengesEuropéennes 2024: ce que disent les sondages à deux mois du scrutin  BFMTVÉlections européennes : au sein de la majorité présidentielle, certains cadres s'inquiètent des mauvais sondages  franceinfo","européennes, 2024, élections, eurorolling, ifop"
"""Trois agents réfugiés dans le coffre-fort"" : le maire de Clermont-l'Hérault détaille le braquage à la banque Dupuy de Parseval",Midi Libre,https://news.google.com/rss/articles/CBMiwAFodHRwczovL3d3dy5taWRpbGlicmUuZnIvMjAyNC8wNC8xMC91bmUtb3UtZGV1eC1jYXJhYmluZXMtdHJvaXMtYWdlbnRzLXJlZnVnaWVzLWRhbnMtbGUtY29mZnJlLWZvcnQtbGUtbWFpcmUtZGUtY2xlcm1vbnQtbGhlcmF1bHQtcmFjb250ZS1sZS1icmFxdWFnZS1hLWxhLWJhbnF1ZS1kdXB1eS1kZS1wYXJzZXZhbC0xMTg4MjUxMi5waHDSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"Wed, 10 Apr 2024 11:18:00 GMT","""Trois agents réfugiés dans le coffre-fort"" : le maire de Clermont-l'Hérault détaille le braquage à la banque Dupuy de Parseval  Midi LibreUne agence bancaire braquée à Clermont-l'Hérault, le tireur de 47 ans est mort  France Bleu""Il a ouvert le coffre, a pris un fusil de chasse et s'est dirigé vers la banque"" : dans l'Hérault, un braqueur abattu, les témoins sous le choc racontent  Centre Presse AveyronLe braqueur d'une banque de l'Hérault abattu lors d'une prise d'otages  20 MinutesPrès de Montpellier : otages sains et saufs, braqueur abattu, ce que l'on sait du hold up  actu.fr","banque, clermontlhérault, braqueur, abattu, trois"
